date,open,high,low,close
2022-02-02 03:09:00,28615.28,28642.46,28615.28,28640.44
2022-02-02 03:10:00,28630.94,28633.59,28622.1,28633.59
2022-02-02 03:11:00,28641.7,28641.7,28629.08,28636.66
2022-02-02 03:12:00,28639.23,28655.37,28639.23,28651.55
2022-02-02 03:13:00,28652.81,28656.03,28640.56,28640.56
2022-02-02 03:14:00,28645.12,28682.85,28638.71,28672.52
2022-02-02 03:15:00,28676.17,28694.58,28676.17,28685.55
2022-02-02 03:16:00,28687.55,28689.87,28666.63,28666.63
2022-02-02 03:17:00,28672.69,28676.44,28646.04,28653.94
2022-02-02 03:18:00,28646.83,28646.83,28633.4,28639.37
2022-02-02 03:19:00,28635.35,28635.74,28619.34,28635.74
2022-02-02 03:20:00,28638.18,28641.17,28630.65,28630.65
2022-02-02 03:21:00,28633.6,28640.49,28627.99,28636.52
2022-02-02 03:22:00,28644.22,28656.1,28640.86,28640.86
2022-02-02 03:23:00,28636.49,28651.63,28636.49,28651.63
2022-02-02 03:24:00,28651.37,28658.12,28643.51,28643.51
2022-02-02 03:25:00,28646.67,28657.45,28639.09,28657.45
2022-02-02 03:26:00,28653.71,28653.71,28644.3,28651.39
2022-02-02 03:27:00,28643.91,28649.1,28631.27,28631.27
2022-02-02 03:28:00,28625.54,28628.39,28619.81,28628.39
2022-02-02 03:29:00,28635.03,28637.81,28626.12,28626.12
2022-02-02 03:30:00,28634.9,28634.9,28610.43,28610.43
2022-02-02 03:31:00,28611.39,28611.39,28611.39,28611.39
2022-02-02 03:32:00,28612.9,28612.9,28598.73,28606.61
2022-02-02 03:33:00,28606.6,28610.29,28605.14,28609.79
2022-02-02 03:34:00,28601.74,28616.6,28601.74,28614.88
2022-02-02 03:35:00,28607.57,28607.57,28576.19,28579.52
2022-02-02 03:36:00,28591.36,28591.36,28565.14,28565.14
2022-02-02 03:37:00,28559.45,28567.46,28557.82,28565.06
2022-02-02 03:38:00,28563.38,28563.38,28542.63,28552.84
2022-02-02 03:39:00,28562.66,28562.66,28562.66,28562.66
2022-02-02 03:40:00,28563.57,28575.69,28563.13,28568.66
2022-02-02 03:41:00,28569.04,28576.4,28559.63,28559.63
2022-02-02 03:42:00,28563.78,28563.78,28530.05,28530.05
2022-02-02 03:43:00,28536.38,28541.64,28531.29,28531.92
2022-02-02 03:44:00,28538.24,28547.98,28538.24,28541.99
2022-02-02 03:45:00,28539.69,28554.44,28537.92,28542.92
2022-02-02 03:46:00,28542.93,28552.93,28536.66,28552.93
2022-02-02 03:47:00,28538.34,28548.87,28538.34,28548.87
